parent_asin,title,main_category,price,average_rating,rating_number
B0BSQL7M51,"PNY 1TB PRO Elite Class 10 U3 V30 microSDXC Flash Memory Card - 100MB/s, Class 10, U3, V30, A2, 4K UHD, Full HD, UHS-I, micro SD",Computers,109.99,4.7,3380
B00JX3Q28Y,Plugable USB 3.0 Sharing Switch for One-Button Swapping of USB Device or Hub Between Two Computers (AB Switch),Computers,,4.2,1325
B06XKRXLDR,"KHOMO - iPad 2 3 and 4 Generation Case - DUAL Series - Super Slim Black Cover with Rubberized back and Smart Auto Wake Sleep Feature for Apple iPad 2, 3rd and 4th.",Computers,11.95,4.5,2745
B0067HY1EQ,"Tiffen 77mm Photo Essentials Kit with UV Protector, 812 Color Warming, Circular Polarizing Glass Filters and 4 Pocket Pouch",Camera & Photo,89.99,4.6,576
B07FHXH3S7,Sony XBR65X900F 65-Inch 4K Ultra HD Smart LED TV with $40 Off TV Wall Mount,All Electronics,,4.5,1724
B00F361KLO,"ZAGG InvisibleShield HD – EZ Apply Film Screen Protector for Apple iPad Air/iPad Air 2 - Wet Apply, Clear",Computers,,4.1,158
B000HHHP7C,KByte Fingerprint Security Reader,All Electronics,54.08,4.0,327
B08X2DCF2B,"Verbatim 4.7GB Up to 16X Datalifeplus White Inkjet Printable Recordable Disc DVD-R, 50 -Disc Spindle",All Electronics,26.94,4.6,1104
B07RWDZ3HG,"SilverStone Technology SST-FF121 120mm Ultra Fine Fan Filter with Magnet Cooling,black",All Electronics,6.47,4.5,5340
B09SJ9192T,"SAMSUNG 23.5” CF396 Curved Computer Monitor, AMD FreeSync for Advanced Gaming, 4ms Response Time, Wide Viewing Angle, Ultra Slim Design, LC24F396FHNXZA, Black",Computers,158.0,4.7,24081
B06XSVW6GN,"mCover Orange Hard Shell Case with Free Keyboard Cover for 15-inch A1286 Aluminum Unibody MacBook Pro (15.4"" Regular Display, Black Keys)",Computers,15.99,4.5,1983
B00H4J5B9U,"Plugable HDMI to VGA Adapter, Driverless 6 Foot (1.8 Meter) Converter Cable Supporting Up to 1920 x 1080 (60Hz)",All Electronics,29.95,4.3,572
B00OT7HSBO,EBL 12 Bay LCD Universal Battery Charger for Rechargeable AA AAA 9V NIMH NICD Batteries,Industrial & Scientific,29.99,4.5,2927
B0BKFX6FWW,"mafiti RK101 Computer Keyboard Mouse Combo Wired, RGB Backlit USB Keyboard for PC Mac Laptop Desktop, Gaming Office",Computers,19.99,4.3,6534
B08Y8FSTMT,"Anker Power Strip Surge Protector, 12 Outlets & 3 USB Charging Ports with Flat Plug, 6ft Extension Cord, PowerIQ for iPhone Xs/XS Max/XR/X, Galaxy, for Home, Office, and More (4000 Joules) (Black)",All Electronics,,4.8,15740
B095LCZKVR,"ASUS TUF Gaming 32"" 1440P HDR Curved Monitor (VG32VQ) - QHD (2560 x 1440), 144Hz, 1ms, Extreme Low Motion Blur, Speaker, Adaptive-Sync, FreeSync Premium, VESA Mountable, DisplayPort, HDMI",Computers,,4.6,8170
B07RQLDZS2,23.6inch ABBREE AR-152 AR-148 Tactical Antenna SMA-Female Coaxial Extend Cable for Baofeng BF-888S UV-5R UV-82 UV-9R BF-F8HP 2 Way Radio,Home Audio & Theater,9.99,4.5,557
B07BM9DS5S,"AURUM CABLES High Speed HDMI Extension Cable with Ethernet - 4K HDMI Extender Male to Female HDMI Cable Compatible with PS3, PS4, Xbox 360, 3D TV, Blu Ray Player, Laptop, PC - 3ft - 1 Pack",All Electronics,11.0,4.6,952
B08ZYX4D4K,Corsair 4GB(2x2GB)(Dual Channel Kit) 1333MHz DDR3 Desktop Memory (PC3 10666) 1.5V,All Electronics,29.94,4.3,1166
B0784SY515,"Crucial MX500 1TB 3D NAND SATA M.2 (2280SS) Internal SSD, up to 560MB/s - CT1000MX500SSD4",Computers,,4.7,10678
B008I63HDA,Allstate 3-Year Office Protection Plan ($75-99.99),Office Products,,4.0,749
